author,text,publishedAt,likeCount
@Iblamegenetics.0,This is the closest we were to achieve world peace,2024-12-08T12:55:22Z,78961
@yyumass,"PSY: Created a Korean song

99.99% of listeners: *Not Korean*",2020-05-10T07:02:06Z,64238
@_Raecious_,Bro almost united the whole world ğŸ˜­ğŸ˜­,2025-01-05T16:14:39Z,42311
@ajsjewkeelwak,"13 years later, still an epic song!!ğŸ—£ï¸ğŸ”¥",2025-10-01T16:03:08Z,5
@jhaber..2025,How many legends are listening to this banger! ğŸ¤˜ğŸ½,2025-03-06T22:37:21Z,11328
@prisha-s7l,Bro almost owned a whole generation,2025-03-16T09:15:43Z,16234
@divaalfirman3295,This was basically Planet Earth's theme song,2020-08-24T03:42:31Z,8272
@dres,i have no idea why iâ€™m listening to this right now,2025-09-24T20:33:55Z,967
@JohnDiara-w1v,"Book of the century - ""Night in Zagreb"" by MedvidoviÄ‡ 
Song of the century - Gangnam Style by PSY",2025-08-17T22:36:41Z,6349
@Quartz5005,This guy could've said 'Vote me for president' and everyone would've voted,2020-04-17T06:42:50Z,16206
@drnooky3274,Who else just came back to check the views?,2015-11-09T20:07:35Z,5435
@jayashreebarman4623,Legendary song guy's â¤,2025-10-01T15:21:54Z,7
@LuxMortis_,Just came to check the number of views. Am I lonely?,2015-09-20T09:05:35Z,1759
@prodigyproductions8214,Who else came back just to check the views??,2016-01-05T00:15:47Z,5141
@rationalrad6950,I'm looking back at 6 year old me trying to sing the lyrics thinking they were english,2020-05-12T19:12:01Z,2933
@snow-u1b,ì˜¤ëŠ˜ì€ ëˆ„êµ¬ë“ ì§€ â“   ANYONE HERE TODAY â“,2025-09-26T11:27:45Z,1893
@auroracervantes13,i just came from watching joe suggs number clamp video,2016-06-13T20:38:25Z,312
@loranamay6302,So one third of the world population watched it?,2016-12-16T07:25:36Z,4767
@chenchiq8073,I just came here to check the views hahahağŸ˜‚ I can't be the only one ?,2016-06-19T20:52:22Z,368
@ChisomEzeobiora,"The MV now has 5.7B views, just a few more years and it will reach the whole world
United as oneâ¤ï¸ğŸ˜‚",2025-09-24T01:44:55Z,241
@Partydude1000Gaming,Who's watching 28th of August,2015-08-27T20:45:21Z,1319
@6ixmadedat,"never understood what the fuck he was saying, but I still danced my ass off",2017-01-29T19:00:18Z,1811
@kizaru667-k3t,Who is watching today??,2017-01-20T18:42:17Z,248
@Paraense_Anonimo,"Gangnam Style is so iconic and timeless. 
Good music never gets old!",2025-10-01T09:27:05Z,5
@BenjaminPersaud,who's watching on March 6th 2017?,2017-03-04T18:28:57Z,555
@chermont8,Anybody watching on the 5th of july?,2015-07-05T03:39:48Z,518
@luisguzman-y2d,Every time I get a like I'll listen to this masterpiece again ğŸ™Œ,2025-09-30T14:22:44Z,52
@dud0653,WHO IS WATCHING 16 OCTOBER,2016-10-16T06:59:47Z,137
@TheMaxman45,"How is there 2,382,749,384 views when there is only 0 people on earth??",2015-09-13T23:33:53Z,231
@bixstar1469,"our population is 7.4 billion 
this has 2.7 billion views 
so an estimated 4.7 billion do not have access to internet",2017-01-29T11:52:01Z,440
